EmployeeID,Gender,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition,Education,MaritalStatus,AgeGroup
1001,Female,35,IT,Software Engineer,7487,2,4,No,No,High School,Single,35-44
1002,Male,23,Marketing,Marketing Specialist,5301,5,3,Yes,No,Master,Divorced,Under 25
1003,Male,37,Finance,Finance Manager,8460,6,3,Yes,No,Master,Single,35-44
1004,Female,39,HR,HR Manager,7822,1,2,No,No,Bachelor,Married,35-44
1005,Female,38,Sales,Sales Executive,4089,4,1,Yes,Yes,Master,Married,35-44
1006,Male,43,Sales,Sales Executive,3735,3,2,No,No,Master,Married,35-44
1007,Female,41,Sales,Sales Executive,3406,6,4,No,No,Bachelor,Single,35-44
1008,Female,38,Marketing,Marketing Manager,8030,7,3,No,No,Bachelor,Divorced,35-44
1009,Female,33,HR,HR Specialist,4283,3,3,No,No,PhD,Single,25-34
1010,Female,21,Finance,Finance Manager,6601,11,3,No,No,Master,Married,Under 25
1011,Female,37,Sales,Sales Manager,7353,6,4,No,Yes,Bachelor,Single,35-44
1012,Male,36,Marketing,Marketing Manager,9320,3,1,No,No,Master,Single,35-44
1013,Female,36,Marketing,Marketing Specialist,5396,1,2,No,No,Bachelor,Married,35-44
1014,Female,24,Sales,Sales Manager,7645,7,3,No,No,Bachelor,Married,Under 25
1015,Male,25,Sales,Sales Representative,4053,8,4,No,No,Bachelor,Single,25-34
1016,Male,42,Sales,Sales Executive,4536,4,4,No,Yes,Master,Single,35-44
1017,Male,34,IT,Software Engineer,7997,6,2,No,No,Master,Married,25-34
1018,Female,39,IT,Software Engineer,7211,15,4,No,No,Bachelor,Married,35-44
1019,Female,34,IT,Data Analyst,7174,10,4,No,No,Bachelor,Divorced,25-34
1020,Male,34,IT,Data Analyst,7209,1,2,No,Yes,Bachelor,Single,25-34
1021,Female,42,HR,Recruiter,4766,3,3,No,No,PhD,Married,35-44
1022,Male,30,Sales,Sales Manager,7745,5,3,No,Yes,PhD,Single,25-34
1023,Female,35,IT,Software Engineer,7286,6,4,No,No,Master,Single,35-44
1024,Female,30,IT,Data Analyst,6509,6,2,No,No,Master,Married,25-34
1025,Female,31,IT,IT Support,6649,8,4,No,No,Master,Married,25-34
1026,Male,32,Finance,Financial Analyst,5416,5,3,No,No,Bachelor,Single,25-34
1027,Male,36,Sales,Sales Representative,4018,6,4,No,No,High School,Single,35-44
1028,Male,30,IT,Senior Developer,8694,10,3,No,No,Bachelor,Single,25-34
1029,Male,44,HR,HR Specialist,5706,7,3,Yes,No,Master,Married,35-44
1030,Female,27,Sales,Sales Executive,4909,2,4,No,No,Master,Divorced,25-34
1031,Female,33,HR,Recruiter,5184,6,4,No,No,Bachelor,Single,25-34
1032,Female,30,Sales,Sales Representative,4532,5,4,No,No,PhD,Single,25-34
1033,Female,46,Sales,Sales Representative,4904,1,1,No,No,Bachelor,Married,45+
1034,Female,36,Marketing,Marketing Analyst,6063,6,3,No,No,Bachelor,Divorced,35-44
1035,Female,42,Marketing,Marketing Specialist,5407,2,2,No,No,Master,Married,35-44
1036,Female,22,Finance,Financial Analyst,5147,11,3,Yes,No,Master,Single,Under 25
1037,Female,36,IT,Senior Developer,8008,8,3,No,No,Master,Single,35-44
1038,Male,41,Sales,Sales Executive,4402,2,3,No,No,Bachelor,Married,35-44
1039,Male,35,Finance,Financial Analyst,5604,10,3,Yes,No,Bachelor,Married,35-44
1040,Male,43,IT,IT Support,6178,13,4,No,No,Master,Single,35-44
1041,Female,30,Sales,Sales Executive,4637,5,2,No,No,Bachelor,Married,25-34
1042,Female,45,IT,Senior Developer,9044,5,3,No,No,Bachelor,Single,45+
1043,Male,52,Sales,Sales Representative,3954,10,3,Yes,No,Master,Married,45+
1044,Female,31,Marketing,Marketing Manager,8016,13,2,No,No,Bachelor,Single,25-34
1045,Female,30,Sales,Sales Representative,4042,1,2,No,No,Master,Single,25-34
1046,Male,46,HR,HR Specialist,3716,2,4,No,No,Master,Married,45+
1047,Male,47,IT,IT Support,5689,4,4,No,No,Bachelor,Married,45+
1048,Female,30,IT,Software Engineer,7306,4,4,No,No,High School,Divorced,25-34
1049,Male,31,IT,IT Support,5514,9,4,No,No,Master,Married,25-34
1050,Female,32,Sales,Sales Executive,4990,13,2,No,Yes,Master,Single,25-34
1051,Male,23,Marketing,Marketing Manager,8695,13,3,No,No,Master,Married,Under 25
1052,Female,27,Finance,Accountant,6492,1,3,Yes,Yes,Master,Single,25-34
1053,Female,26,Marketing,Marketing Manager,7561,3,3,No,No,Master,Divorced,25-34
1054,Female,28,Marketing,Marketing Manager,8669,4,3,Yes,No,PhD,Single,25-34
1055,Female,34,HR,HR Manager,7297,3,3,Yes,No,Bachelor,Married,25-34
1056,Male,36,Marketing,Marketing Manager,7481,8,3,Yes,No,Bachelor,Single,35-44
1057,Male,46,Sales,Sales Executive,4201,8,3,Yes,No,Bachelor,Married,45+
1058,Male,26,Sales,Sales Manager,6903,6,2,No,No,Bachelor,Married,25-34
1059,Female,42,Sales,Sales Executive,4348,5,3,Yes,No,Bachelor,Married,35-44
1060,Female,32,IT,Software Engineer,7511,4,3,No,No,Bachelor,Single,25-34
1061,Female,34,IT,Data Analyst,7104,5,3,No,No,Master,Single,25-34
1062,Male,39,Sales,Sales Representative,4002,15,2,No,No,Bachelor,Married,35-44
1063,Male,25,Finance,Financial Analyst,6284,9,4,Yes,No,Bachelor,Divorced,25-34
1064,Male,37,IT,Data Analyst,7774,4,1,No,No,Bachelor,Single,35-44
1065,Male,35,IT,Software Engineer,8017,5,3,No,No,High School,Married,35-44
1066,Female,38,IT,IT Support,5335,8,4,No,No,High School,Single,35-44
1067,Male,36,Sales,Sales Representative,2500,2,3,No,No,Bachelor,Married,35-44
1068,Male,54,Finance,Accountant,6307,6,2,No,No,High School,Single,45+
1069,Female,29,Sales,Sales Manager,6212,9,3,No,No,Master,Single,25-34
1070,Male,30,Marketing,Marketing Analyst,5554,8,3,No,No,Master,Married,25-34
1071,Male,29,Finance,Financial Analyst,5239,3,4,No,No,Master,Single,25-34
1072,Female,30,Sales,Sales Representative,2829,3,4,Yes,No,Master,Married,25-34
1073,Male,29,Sales,Sales Representative,4352,1,3,No,No,Bachelor,Married,25-34
1074,Female,44,Finance,Financial Analyst,6493,9,3,Yes,No,Master,Single,35-44
1075,Female,45,Finance,Finance Manager,7625,19,2,No,No,Master,Married,45+
1076,Female,29,Finance,Accountant,4016,3,2,No,No,Bachelor,Married,25-34
1077,Male,27,Finance,Finance Manager,7645,11,3,No,No,Master,Single,25-34
1078,Female,38,Sales,Sales Manager,7355,18,3,No,No,Bachelor,Married,35-44
1079,Male,30,IT,Software Engineer,6439,4,3,No,Yes,Master,Married,25-34
1080,Male,39,Sales,Sales Manager,7219,5,2,No,No,PhD,Married,35-44
1081,Male,36,Marketing,Marketing Manager,7690,7,1,No,No,High School,Single,35-44
1082,Female,22,HR,HR Specialist,5377,8,3,No,No,Master,Single,Under 25
1083,Male,46,IT,Data Analyst,7078,7,2,Yes,Yes,Master,Single,45+
1084,Male,48,Sales,Sales Executive,3968,4,4,No,No,PhD,Single,45+
1085,Female,29,IT,IT Support,7078,9,1,No,No,Bachelor,Married,25-34
1086,Male,31,IT,IT Support,6197,4,3,Yes,No,Master,Married,25-34
1087,Male,36,Finance,Accountant,5682,7,4,No,No,High School,Single,35-44
1088,Male,37,HR,Recruiter,4593,5,2,Yes,Yes,Bachelor,Single,35-44
1089,Male,39,Marketing,Marketing Manager,7412,1,3,No,No,High School,Married,35-44
1090,Male,50,IT,Data Analyst,6425,13,1,No,No,PhD,Married,45+
1091,Male,33,Sales,Sales Manager,6988,3,3,No,No,Master,Single,25-34
1092,Female,28,Finance,Accountant,6813,13,3,Yes,Yes,Master,Married,25-34
1093,Male,23,Finance,Financial Analyst,5108,11,3,Yes,No,Master,Single,Under 25
1094,Male,28,HR,HR Specialist,3951,7,3,Yes,No,High School,Divorced,25-34
1095,Female,34,Finance,Financial Analyst,6956,8,4,No,No,Bachelor,Divorced,25-34
1096,Male,48,IT,Senior Developer,8564,9,2,No,No,High School,Single,45+
1097,Female,30,IT,IT Support,5865,5,1,No,No,Bachelor,Single,25-34
1098,Male,36,IT,Senior Developer,9376,5,4,No,No,Bachelor,Married,35-44
1099,Male,34,Sales,Sales Executive,4206,8,3,No,No,Bachelor,Single,25-34
1100,Male,44,Sales,Sales Executive,5787,6,4,No,No,Bachelor,Married,35-44
1101,Male,54,Sales,Sales Manager,7541,4,3,No,No,High School,Married,45+
1102,Male,30,HR,Recruiter,4883,3,4,No,No,Bachelor,Married,25-34
1103,Male,30,IT,Senior Developer,10102,7,3,No,Yes,Bachelor,Married,25-34
1104,Male,42,IT,Data Analyst,6606,3,4,Yes,No,PhD,Married,35-44
1105,Male,39,Marketing,Marketing Manager,8182,10,4,Yes,Yes,Master,Single,35-44
1106,Male,49,Sales,Sales Representative,4195,10,3,No,No,PhD,Married,45+
1107,Male,39,IT,IT Support,7146,8,2,Yes,No,Bachelor,Single,35-44
1108,Male,31,Finance,Finance Manager,9015,9,2,No,No,Bachelor,Married,25-34
1109,Male,39,Sales,Sales Representative,4021,8,2,No,No,Master,Single,35-44
1110,Female,43,Sales,Sales Executive,4110,10,2,No,No,Bachelor,Single,35-44
1111,Male,41,IT,Senior Developer,8999,9,3,No,No,Bachelor,Divorced,35-44
1112,Female,38,Sales,Sales Executive,4159,7,3,Yes,No,Bachelor,Single,35-44
1113,Female,43,Marketing,Marketing Specialist,6709,11,3,No,No,Bachelor,Divorced,35-44
1114,Male,43,Finance,Finance Manager,8089,5,3,No,No,Bachelor,Divorced,35-44
1115,Female,45,HR,Recruiter,4963,3,3,No,No,Bachelor,Married,45+
1116,Female,39,Marketing,Marketing Manager,7820,3,1,No,No,Master,Married,35-44
1117,Male,33,Finance,Accountant,4824,4,1,No,No,High School,Married,25-34
1118,Male,35,Sales,Sales Manager,6468,1,2,No,Yes,Bachelor,Married,35-44
1119,Female,44,Marketing,Marketing Manager,8480,7,3,No,No,Master,Single,35-44
1120,Female,27,IT,IT Support,5873,9,2,Yes,No,Bachelor,Married,25-34
1121,Male,37,Finance,Finance Manager,7320,10,2,No,No,Bachelor,Married,35-44
1122,Male,31,Marketing,Marketing Analyst,6049,1,3,No,No,Master,Married,25-34
1123,Male,34,IT,Senior Developer,9471,3,4,No,Yes,Bachelor,Married,25-34
1124,Male,44,Sales,Sales Executive,5067,10,1,No,No,High School,Single,35-44
1125,Female,36,Sales,Sales Executive,5247,5,3,No,Yes,Bachelor,Married,35-44
1126,Male,34,IT,IT Support,5808,9,3,No,No,Bachelor,Married,25-34
1127,Male,23,Finance,Financial Analyst,5076,2,4,No,No,Bachelor,Single,Under 25
1128,Female,40,Marketing,Marketing Specialist,6376,13,4,Yes,No,Master,Divorced,35-44
1129,Male,39,Sales,Sales Executive,4390,2,1,No,No,Bachelor,Married,35-44
1130,Male,51,IT,Data Analyst,6837,6,2,Yes,No,Bachelor,Married,45+
1131,Female,32,IT,Data Analyst,7863,7,4,Yes,No,Bachelor,Married,25-34
1132,Female,36,Sales,Sales Manager,7462,4,3,No,No,Bachelor,Married,35-44
1133,Male,36,Sales,Sales Representative,4296,8,3,No,No,Master,Single,35-44
1134,Male,47,IT,Software Engineer,8807,8,3,No,No,Bachelor,Married,45+
1135,Male,33,Marketing,Marketing Analyst,5282,7,3,Yes,No,Bachelor,Single,25-34
1136,Male,36,IT,IT Support,6903,4,4,No,No,High School,Divorced,35-44
1137,Male,39,IT,IT Support,6337,3,4,No,No,Bachelor,Divorced,35-44
1138,Male,35,Finance,Finance Manager,8175,4,4,No,No,Bachelor,Single,35-44
1139,Male,30,IT,Senior Developer,9694,3,2,No,No,Master,Single,25-34
1140,Male,36,Marketing,Marketing Manager,8030,12,4,No,No,High School,Married,35-44
1141,Male,43,Marketing,Marketing Specialist,5750,4,1,No,No,Bachelor,Single,35-44
1142,Male,26,Sales,Sales Manager,7797,6,2,No,No,Bachelor,Married,25-34
1143,Male,35,IT,Software Engineer,7163,10,4,Yes,Yes,Master,Single,35-44
